match,home_team,away_team,start_time,market_name,player_name,player_team,opposition_team,line,over_price,prop_id,agency,original_roster_name
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,E. Fedde,NA,NA,4.5,3.4,781516,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,E. Fedde,NA,NA,5.5,6,781517,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,E. Fedde,NA,NA,6.5,13,781518,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,E. Fedde,NA,NA,7.5,26,781519,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,C. Rea,NA,NA,2.5,1.3,781086,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,C. Rea,NA,NA,3.5,1.72,781087,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,C. Rea,NA,NA,4.5,2.5,781088,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,C. Rea,NA,NA,5.5,4,781089,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,C. Rea,NA,NA,6.5,7,781090,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,C. Rea,NA,NA,7.5,15,781091,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,C. Rea,NA,NA,8.5,41,781092,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,Q. Priester,NA,NA,2.5,1.14,781116,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,Q. Priester,NA,NA,3.5,1.4,781117,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,Q. Priester,NA,NA,4.5,1.85,781118,TAB,NA
