match,start_time,market_name,home_team,away_team,line,home_price,away_price,margin,agency
Los Angeles Dodgers v Houston Astros,2025-07-06 08:45:00,Line,Los Angeles Dodgers,Houston Astros,NA,1.24,1.55,1.45,Neds
Los Angeles Dodgers v Houston Astros,2025-07-06 08:45:00,Line,Los Angeles Dodgers,Houston Astros,NA,1.24,1.32,1.56,Neds
Los Angeles Dodgers v Houston Astros,2025-07-06 08:45:00,Line,Los Angeles Dodgers,Houston Astros,NA,1.24,4,1.06,Neds
Los Angeles Dodgers v Houston Astros,2025-07-06 08:45:00,Line,Los Angeles Dodgers,Houston Astros,NA,1.24,2.85,1.16,Neds
Oakland Athletics v San Francisco Giants,2025-07-06 11:35:00,Line,Oakland Athletics,San Francisco Giants,NA,4.75,1.85,0.75,Neds
Oakland Athletics v San Francisco Giants,2025-07-06 11:35:00,Line,Oakland Athletics,San Francisco Giants,NA,4.75,1.19,1.05,Neds
Oakland Athletics v San Francisco Giants,2025-07-06 11:35:00,Line,Oakland Athletics,San Francisco Giants,NA,4.75,2.45,0.62,Neds
Oakland Athletics v San Francisco Giants,2025-07-06 11:35:00,Line,Oakland Athletics,San Francisco Giants,NA,4.75,1.3,0.98,Neds
Colorado Rockies v Chicago White Sox,2025-07-06 10:40:00,Line,Colorado Rockies,Chicago White Sox,NA,1.35,2.5,1.14,Neds
Colorado Rockies v Chicago White Sox,2025-07-06 10:40:00,Line,Colorado Rockies,Chicago White Sox,NA,1.35,3.15,1.06,Neds
Colorado Rockies v Chicago White Sox,2025-07-06 10:40:00,Line,Colorado Rockies,Chicago White Sox,NA,1.35,1.5,1.41,Neds
Colorado Rockies v Chicago White Sox,2025-07-06 10:40:00,Line,Colorado Rockies,Chicago White Sox,NA,1.35,1.3,1.51,Neds
Colorado Rockies v Chicago White Sox,2025-07-06 10:40:00,Line,Colorado Rockies,Chicago White Sox,NA,2.55,2.5,0.79,Neds
Colorado Rockies v Chicago White Sox,2025-07-06 10:40:00,Line,Colorado Rockies,Chicago White Sox,NA,2.55,3.15,0.71,Neds
